%	code	xx	param	BG	SL	CS	PL	UK	RU	LV	ET	FI	SV	DA	DE	NL	EN	HU	RO	FR	ES	PT	TR	AZ	KO	JA	ZH	ZT	VI	TH	
	\langname	Reference		Български	Slovenščina	Čeština	Polski	Українська	Русский	Latviešu	Eesti	Suomi	Svenska	Dansk	Deutsch	Nederlands	English	Magyar	Română	Français	Español (castellano)	Português	Türkçe	Azərbaycanca	한국어	日本語	中文（大陆简体）	中文（臺灣正體）	Tiếng Việt	ภาษาไทย	
	\regworkc	You should choose the language in which you are most comfortable.		Изберете езика, с който се чувствате най-комфортно.	Izberi jezik, v katerem se najlažje izražaš.	Zvolte si jazyk, v němž jste si nejjistější.	Należy wybrać język, w którym czujecie się najpewniej.	Ви маєте обрати найзручнішу для себе мову.	Вам нужно выбрать тот язык, с которым вы чувствуете себя наиболее комфортно.	Jums jāizvēlas Jums visērtākā valoda.	Te peaksite valima keele, milles tunnete end kõige mugavalt.	Sinun kannattaa valita kieli, jonka käyttö on sinulle kaikkein luontevinta.	Du bör välja det språk du känner dig mest bekväm med.	Du bør vælge det sprog, som du er mest tryg med.	Du solltest die Sprache wählen, in der du dich am wohlsten fühlst.	Kies de taal waarin je het meest comfortabel bent.	You should choose the language in which you are most comfortable.	Azt a nyelvet válassza, amelyiket a legjobban ismeri.	E recomandat să alegeți limba în care vă simțiți cel mai confortabil.	Vous devriez choisir la langue dans laquelle vous êtes le plus à l'aise.	Debes elegir el idioma en el que te sientas más cómodo/a.	Você deve escolher o idioma em que se sentir mais confortável.	En rahat olduğunuz  ve en iyi bildiğiniz dili seçmelisiniz.	Sizə ən rahat və ən yaxşı bildiyiniz dili seçməlisiniz.	풀이 언어는 자신이 답안을 작성하기에 가장 편한 언어를 선택해야 합니다.	言語は自分が最も楽に使えるものを選んでください。	你应当选择你最熟悉的语言。	您應該選擇使用您最熟悉的語言。			
	\regworkd	Contrary to popular opinion, there is absolutely no advantage to be gained from using any particular language: all working languages have equal status in IOL.		Противно на разпространеното мнение, нито един специфичен работен език няма да Ви донесе каквото и да било предимство – на МОЛ всички езици се ползват с равноправен статут.	Čeprav nekateri mislijo drugače, raba enega ali drugega določenega jezika ne prinaša popolnoma nobene prednosti; vsi jeziki imajo na olimpijadi enakovreden status.	Navzdory všeobecnému mínění nejsou žádné jazyky zvýhodněné: všechny soutěžní jazyky mají na IOL stejný status.	Wbrew obiegowej opinii użycie jakiegokolwiek konkretnego języka nie daje żadnej przewagi, wszystkie języki mają na Olimpiadzie taki sam status.	Всупереч поширеній думці, жодна конкретна мова не дає переваги; усі робочі мови мають однаковий статус на МОЛ.	Вопреки распространенному мнению, использование какого-либо конкретного языка не даст вам преимущества: все рабочие языки на МОЛе имеют равный статус.	Pretēji populāram viedoklim, nav pilnīgi nekādu priekšrocību, ko varētu gūt, izmantojot kādu konkrētu valodu: visām darba valodām IOL ir vienāds statuss.	Vastupidiselt levinud arvamusele ei anna mingi kindla keele kasutamine mingisugust eelist: kõikidel töökeeltel on IOL-il võrdne staatus.	Usein uskotaan virheellisesti, että tietyn yksittäisen kielen käyttö tuottaa etua kilpailussa.	Motsatt det många tror finns det ingen fördel med att välja ett språk över ett annat: på IOL har alla arbetsspråk samma status.	Modsat hvad mange tror, er der ikke nogen fordel ved at bruge noget bestemt sprog: alle arbejdssprog har lige status i IOL.	Entgegen der landläufigen Meinung gibt es absolut keinen Vorteil bei der Verwendung einer bestimmten Sprache: Alle Arbeitssprachen haben bei IOL den gleichen Status.	In tegenstelling tot de populaire mening zijn er absoluut geen pluspunten te behalen door het gebruik van een specifieke taal: alle voertalen hebben dezelfde status binnen de IOL.	Contrary to popular opinion, there is absolutely no advantage to be gained from using any particular language: all working languages have equal status in IOL.	Ellentétben a széles körben elfogadott véleménnyel, egyik nyelv sem jelent előnyt bármely másikkal szemben: az IOL-on mindegyik munkanyelvnek azonos státusza van.	Contrar opiniilor multora, utilizarea unei anumite limbi nu reprezintă niciun avantaj: toate limbile de lucru au același statut la IOL.	Contrairement à une opinion répandue, l'utilisation d'une langue en particulier ne présente aucun avantage: toutes les langues de travail ont le même statut dans IOL.	Contrariamente a la opinión popular, no hay absolutamente ninguna ventaja en usar un idioma en particular: todos los idiomas de trabajo tienen el mismo estatus en la IOL.	Ao contrário da opinião popular, não há absolutamente nenhuma vantagem com o uso de uma língua em particular: todas as línguas de trabalho têm o mesmo estatuto na IOL.	Genel yaygının aksine, hiçbir dilin diğerine göre avantajı yoktur, tüm çalışılan dillerin IOL için geçerliliği aynıdır.	Yayılmış ümumi təsəvvürlərin əksinə, heç bir dilin digərindən üstünlüyü yoxdur, yoxlanılan bütün dillər IOL üçün eyni dərəcədə etibarlıdır.	흔한 오해와 달리, 특정 언어를 사용함으로써 얻게 되는 이익은 전혀 없습니다. IOL에서는 모든 언어가 동일한 지위를 갖습니다.	世論に反し、どの言語を使っても有利不利は一切ありません。IOLでは使用言語の地位はどれも同じです。	与可能的主流观点相反，使用某个特定的语言不会带来任何优势——在国际语奥中，所有参赛语言拥有同等的地位。	與一般想法相反的是，在國際語奧競賽中，使用任何特定語言不會令您取得任何優勢，因為在國際語奧競賽中，所有競賽語言類別皆具相同的地位。			
	\regworke	You will receive a single copy of the problem set in your working language.		Ще получите един екземпляр от условията на работния език, който сте заявили.	Prejel(a) boš en izvod tekmovalne pole v svojem izbranem jeziku.	Obdržíte jednu kopii zadání ve svém soutěžním jazyce.	Dostaniesz pojedynczy egzemplarz zestawu zadań w wybranym przez Ciebie języku.	Ви отримаєте один комплект задач вашою робочою мовою.	Вы получите один экземпляр комплекта задач на вашем рабочем языке.	Jūs saņemsiet vienu uzdevumu komplekta kopiju Jūsu darba valodā.	Te saate ühe ülesandekomplekti oma töökeeles.	Kaikki työkielet ovat IOLissa kuitenkin ehdottomasti samanarvoisia.	Du kommer att få ett enda exemplar av problemuppsättningen på ditt arbetsspråk.	Du vil modtage en enkelt kopi af problemsættet i dit arbejdssprog.	Du erhältst eine einzige Kopie der Aufgaben in deiner Arbeitssprache.	Je zal één kopie van de opgaven ontvangen in je gekozen voertaal.	You will receive a single copy of the problem set in your working language.	Egy példányban fogja megkapni a feladatokat a választott munkanyelvén.	Veți primi o singură copie a setului de probleme în limba voastră de lucru.	Vous recevrez une copie unique du cahier de problèmes dans votre langue de travail.	Recibirás una única copia del conjunto de problemas en tu idioma de trabajo.	Você receberá uma única cópia do conjunto de problemas em sua língua de trabalho.	Problem setinin bir kopyasını kendi dilinizde alacaksınız.	Siz öz dilinizdə yazılmış çalışmalar toplusunun surətini alacaqsınız.	여러분은 자신이 선택한 풀이 언어로 된 문제 묶음을 한 부씩 받을 것입니다.	問題は自分が使う使用言語で書かれたものが1部だけ配られます。	你会收到一份用你选择的参赛语言书写的赛题。	您將會收到一份您所選擇的競賽語言版本的題目集。			
	\regworkf	If the set that you receive is not in the language you  requested, you must let the invigilator know immediately, before the contest starts.		Ако условията, които получите, не са на заявения език, следва веднага (преди началото на състезанието) да уведомите квестора.	Če pola, ki jo boš prejel(a) ni v tvojem izbranem jeziku, moraš o tem takoj, še pred začetkom tekmovanja, obvestiti tistega, ki bo nadzoroval tekmovanje.	Pokud úlohy nejsou v jazyce, který jste požadovali, je nutno o tom okamžitě, tedy ještě před začátkem soutěže, informovat dozor.	Jeśli zestaw, który otrzymasz, jest w innym języku niż wybrany przez Ciebie, należy niezwłocznie, przed rozpoczęciem zawodów, powiadomić o tym osobę nadzorującą.	Якщо ви отримали комплект не тією мовою, яку обирали, то негайно, поки не розпочалося змагання, повідомте про це чергових.	Если комплект, который вы получили, составлен не на заявленном языке, вам следует немедленно сообщить об этом дежурному до начала соревнования.	Ja saņemtais komplekts nav Jūsu pieprasītajā valodā, nekavējoties, pirms sacensību sākuma, jāinformē uzraudzītājs.	Kui komplekt, mille saate, ei ole teie valitud keeles, siis peate sellest võistluse vaatlejale kohe teada andma, enne kui võistlus algab.	Saat kilpailussa tehtävistä yhden version omalla työkielelläsi.	Om problemhäftet du får inte är på det språk du bett om, måste du säga till skrivvakten direkt, innan tävlingen börjar.	Hvis sættet ikke er på det sprog, som du har anmodet om, skal du kontakte tilsynsførende med det samme, før konkurrencen starter.	Wenn die Aufgabenblätter, die du bekommst, nicht in der von dir gewünschten Sprache sind, musst du das der Aufsichtsperson unmittelbar vor Beginn des Wettbewerbs mitteilen.	Mocht je de opgaven in de verkeerde taal krijgen, laat dit dan onmiddellijk weten aan de surveillant vóór de ronde is gestart.	If the set that you receive is not in the language you  requested, you must let the invigilator know immediately, before the contest starts.	Amennyiben a feladatsor nem az Ön által választott nyelven készült, haladéktalanul értesítse a teremben tartózkodó felügyelőt, még a verseny megkezdése előtt.	Dacă setul pe care l-ați primit nu este în limba solicitată, trebuie să anunțați imediat supraveghetorul înainte de începerea examenului.	Si le cahier que vous recevez n'est pas dans la langue que vous avez demandée, vous devez en informer immédiatement le surveillant avant le début du concours.	Si el conjunto que recibes no está en el idioma que solicitaste, debes informar al supervisor o a la supervisora inmediatamente, antes de que comience la competencia.	Se o conjunto que você receber não estiver na língua solicitada, você deve avisar o/a supervisor(a) imediatamente, antes do início da prova.	Eğer size verilen problem seti talep ettiğinizden farklı bir dilde ise, lütfen yarışma başlamadan gözetmeni bilgilendiriniz.	Əgər sizə verilən çalışmalar tələb etdiyiniz dildən fərqlidirsə, müsabiqə başlamazdan əvvəl nəzarətçiyə məlumat verməyiniz xahiş olunur.	만약 받은 문제 묶음이 여러분이 요청한 언어로 되어 있지 않다면, 대회가 시작하기 전에 감독관에게 즉시 알려주십시오.	もし配られたものが自分の使用言語で書かれていなければ、すぐに、競技が始まる前に監督者に知らせてください。	如果你收到的赛题与你选择的参赛语言不符，你必须在比赛开始前立即告知监考员。	在個人賽開始前，若該份題目集並非您所選的語言別，請立刻通知現場監考人員。			
	\regworkg	You must write your solutions in the same working language.		Трябва да напишете решенията си на съответния работен език.	Vse rešitve morajo biti napisane v istem jeziku.	Řešení je nutno psát v soutěžním jazyce, ve kterém jste žádali zadání.	Rozwiązania należy pisać w tym samym języku.	Пишіть розв'язки тією ж робочою мовою.	Записывайте решения на том же рабочем языке.	Jūsu risinājumi jāraksta tajā pašā darba valodā.	Te peate kirjutama oma lahendused samas töökeeles.	Jos saamasi versio ei ole painettu työkielelläsi, kerro asiasta välittömästi valvojalle ennen kilpailun alkua.	Du måste skriva dina lösningar på samma arbetsspråk som problemuppsättningen.	Du skal give alle dine svar på samme arbejdssprog.	Du musst deine Lösungen in der gleichen Arbeitssprache schreiben.	Je moet jouw antwoorden in dezelfde voertaal opschrijven.	You must write your solutions in the same working language.	A megoldásait az Ön által választott munkanyelven kell benyújtania.	Trebuie să vă scrieți rezolvările în aceeași limbă de lucru.	Vous devez écrire vos solutions dans la même langue de travail.	Debes escribir tus soluciones en el mismo idioma de trabajo.	Você deve escrever suas soluções nesta mesma língua de trabalho.	Çözümlerinizi de aynı dilde yazmalısınız.	Həllərinizi də eyni dildə yazmalısınız.	여러분은 답안을 문제와 동일한 풀이 언어로 작성해야 합니다.	答案は必ず同じ使用言語で書いてください。	你必须用你选择的参赛语言作答。	您必須以所選的競賽語言來作答。			
	\regworkh	There is no advantage to be gained by doing otherwise, and you risk introducing mistakes and losing marks.		Няма да Ви донесе предимство да използвате друг език, а и рискувате да допуснете грешки и работата Ви да бъде оценена по-ниско.	Če boš ravnal(a) drugače, s tem ne moreš ničesar pridobiti, tvegaš pa, da se bodo v tvoji nalogi znašle napake in da boš izgubil(a) točke.	Použitím jiného jazyka nezískáte žádnou výhodu, naopak hrozí, že uděláte chyby a ztratíte body.	Pisanie rozwiązań w innym języku nie daje żadnych korzyści, a pomyłki mogą skutkować utratą punktów.	Використання іншої мови не дасть вам жодної переваги, проте може призвести до помилок та втрати балів.	В противном случае вы не получите никакого преимущества, но рискуете допустить ошибки и потерять баллы.	Rīkojoties citādi, Jūs nekādas priekšrocības negūsiet, bet Jūs riskējat kļūdīties un zaudēt punktus.	Teisiti tegemine ei anna teile mitte mingisugust eelist ning te riskite vigade tegemisega ja punktide kaotusega.	Kirjoita myös vastaukset työkielelläsi. Muulla kielellä vastaaminen ei tuo mitään etua, ja se saattaa johtaa virheisiin ja pistemenetyksiin.	Det finns inga fördelar att få genom att använda andra språk, och du riskerar att begå misstag och förlora poäng.	Der er ikke nogen fordel ved at gøre noget andet, og du risikerer at lave fejl og tabe point.	Es gibt keinen Vorteil, wenn man etwas anderes tut, und man riskiert, Fehler zu machen und Punkte zu verlieren.	Er zijn geen pluspunten te behalen door het gebruik van een andere taal. Door het gebruiken van een andere taal loopt je ook het risico op fouten te maken en daardoor punten te verliezen.	There is no advantage to be gained by doing otherwise, and you risk introducing mistakes and losing marks.	Semmilyen előnye nem származik abból, ha egy másik nyelven teszi ezt, ellenben lehetőséget ad hibák elkövetésére és ezért pontokat veszíthet.	Nu veți avea niciun avantaj făcând altfel și riscați să introduceți greșeli și să pierdeți puncte.	Vous ne gagnerez aucun avantage à faire autrement et vous risqueriez d'introduire des erreurs et de perdre des points.	No hay ninguna ventaja que se pueda obtener haciendo lo contrario, y corres el riesgo de introducir errores y perder puntos.	Não há nenhuma vantagem a ser obtida em se fazer o contrário, e ainda você corre o risco de introduzir erros e perder pontos.	Aksini yapmanızın hiçbir avantajı yoktur, ve tersine hatalarınızı göstererek puan kaybedebilirsiniz.	Bunun əksini etmək heç bir üstünlük qazandırmır, əksinə səhvlərinizi göstərməklə bal itirə bilərsiniz.	다른 언어를 사용하여 작성했을 때 얻는 이익은 없으며, 채점 시에 오역이나 감점 요인이 생길 위험이 있습니다.	複数の言語を混ぜて使っても有利にはなりません。むしろ間違いや失点の原因となります。	用其他语言作答不仅不会为你带来任何优势，还会让你承担失误与失分的风险。	以其他方式作答並不會令您取得任何優勢，且可能令您承擔失誤或失分的風險。			
	\regprob	The problem set		Условия	Tekmovalna pola	Zadání soutěže	Zestaw zadań	Комплект задач	Комплект задач	Uzdevumu komplekts	Ülesandekomplekt	Olympialaisten tehtävät	Problemuppsättningen	Opgavesættet	Der Aufgabensatz	De opgavenset	The problem set	A feladatsor	Setul de probleme	Le cahier de problèmes	El conjunto de problemas	O conjunto de problemas	Soru Seti	Sual Toplusu	문제지	問題セット	赛题	競賽題目集			
	\regproba	The problem set consists of five separate problems which you may solve in any order.		Условията се състоят от пет самостоятелни задачи, които можете да решавате в произволен ред.	Tekmovalna pola sestoji iz petih medsebojno nepovezanih nalog, ki jih lahko rešuješ v poljubnem vrstnem redu.	Zadání tvoří pět samostatných úloh, které můžete řešit v libovolném pořadí.	Zestaw składa się z pięciu zadań, które możesz rozwiązywać w dowolnej kolejności.	Комплект складається з п'яти окремих задач, які можна розв'язувати у довільному порядку.	Комплект задач состоит из пяти отдельных задач, которые вы можете решать в любом порядке.	Uzdevumu komplektu veido pieci atsevišķi uzdevumi, kurus var risināt jebkurā secībā.	Ülesandekomplektis on viis erinevat ülesannet, mida võite lahendada suvalises järjekorras.	Henkilökohtaisessa kilpailussa on yhteensä viisi tehtävää, jotka voi tehdä missä järjestyksessä tahansa.	Problemuppsättningen består av fem separata problem, som du får lösa i vilken ordning du vill.	Opgavesættet består af fem separate opgaver, som du må løse i vilkårlig rækkefølge.	Der Aufgabensatz besteht aus fünf verschiedenen Aufgaben, die du in beliebiger Reihenfolge lösen kannst.	De opgavenset bestaat uit vijf verschillende opgaven. Het maakt niet uit in welke volgorde je ze oplost.	The problem set consists of five separate problems which you may solve in any order.	A feladatsor öt különálló feladatot tartalmaz, ezeket tetszőleges sorrendben oldhatja meg.	Setul conține cinci probleme separate pe care le puteți rezolva în orice ordine.	Le cahier de problèmes comprend cinq problèmes distincts que vous pouvez résoudre dans n'importe quel ordre.	El conjunto consta de cinco problemas separados que puedes resolver en cualquier orden.	O conjunto consiste em cinco problemas  separados, que podem ser resolvidos em qualquer ordem.	Soru setinizde istediğiniz sırada çözebileceğiniz 5 farklı soru bulunur.	Sual toplunuzda istənilən qaydada həll edə biləcəyiniz 5 fərqli sual mövcuddur.	문제지는 총 다섯 문제로 구성되어 있으며 풀이 순서는 상관없습니다.	問題セットは５つの独立した問題からなります。解く順番は自由です。	赛题由五道独立的题目组成，解答顺序不限。	競賽題目集由五道獨立的題目組成，您可以按任何順序作答。			
	\regprobb	No contestant may receive more than one copy of the problem set during the contest, so please do not request one.		Всеки участник получава само по един екземпляр от условията. Моля, не питайте за допълнителен комплект.	Noben tekmovalec med tekmovanjem ne more dobiti več kot ene pole, zato ne zahtevaj dodatne.	Žádný soutěžící nemá během soutěže nárok na víc než jednu kopii zadání. O další kopie prosím nežádejte.	Żaden uczestnik nie może otrzymać więcej niż jednego egzemplarza zestawu zadań podczas zawodów, więc o to nie proś.	Учаснику дозволено мати лише один комплект завдань під час змагання, тому, будь ласка, не просіть у чергових додатковий примірник.	Ни один участник не может получить более одного экземпляра комплекта в течение соревнования, поэтому, пожалуйста, не просите еще один комплект.	Neviens dalībnieks sacensību laikā nevar saņemt vairāk kā vienu uzdevumu komplekta kopiju, tāpēc, lūdzu, neprasiet to.	Ükski osaleja ei saa võistluse ajal üle ühe ülesandekomplekti, seega palun ärge küsige neid juurde.	Kilpailijat saavat kilpailun aikana tehtävät itselleen vain kerran (älä siis turhaan pyydä tehtävien lisäkopioita).	Deltagare kan inte få mer än ett exemplar av problemuppsättningen under tävlingen, så det är inte lönt att fråga efter fler.	Ingen deltager må få mere end én kopi af opgavesættet under konkurrencen, så vær venlig ikke at anmode om et opgavesæt.	Kein Teilnehmer darf während des Wettbewerbs mehr als ein Exemplar des Aufgabensatzes erhalten, also bitte nicht anfordern.	Geen enkele deelnemer krijgt meer dan één kopie van de opgavenset, dus vraag niet om een extra kopie.	No contestant may receive more than one copy of the problem set during the contest, so please do not request one.	Egy versenyző sem kaphat több példányt a feladatsorból, így ne kérjen újabb példányt.	Niciun concurent nu poate primi mai mult de o copie a setului de probleme în timpul competiției, așa că vă rugăm să nu solicitați nicio copie în plus.	Aucun participant ne peut recevoir plus d'une copie du cahier de problèmes pendant l'épreuve; veuillez donc ne pas en demander un autre.	Ningún participante puede recibir más de una copia del conjunto de problemas durante la competencia, así que no solicites copias adicionales.	Nenhum participante pode receber mais de uma cópia do conjunto de problemas durante a prova; portanto, não solicite cópias adicionais.	Bir yarışmacı birden fazla soru kağıdı alamaz, lütfen talep etmeyiniz.	İştirakçı birdən çox sual vərəqi ala bilməz, tələb etməməyiniz xahiş olunur.	참가자 중 누구도 대회 도중 문제지를 두 부 이상 받을 수 없으니, 문제지를 추가로 요청하지 마십시오.	競技中受け取れる問題セットは1部だけです。	每位参赛选手在比赛期间仅能获得一份赛题，所以请不要多要赛题。	所有參賽者在競賽期間皆只會獲得一份個人賽題本，因此請勿要求索取更多題本。			
	\regprobc	The contest lasts six hours.		Индивидуалното състезание продължава шест астрономически часа.	Tekmovanje traja šest ur.	Soutěž trvá šest hodin.	Zawody trwają sześć godzin.	Змагання триває шість годин.	Соревнование длится шесть часов.	Sacensības ilgst sešas stundas.	Võistlus kestab kuus tundi.	Kilpailu kestää kuusi tuntia.	Tävlingen varar i sex timmar.	Konkurrencen varer seks timer.	Der Wettbewerb dauert sechs Stunden.	De individuele competitie duurt zes uur.	The contest lasts six hours.	A verseny időtartama hat óra.	Proba durează șase ore.	L'épreuve dure six heures.	La competencia dura seis horas.	A prova dura seis horas.	Yarışmanın süresi 6 (altı) saattir.	Müsabiqənin müddəti 6 (altı) saatdır.	문제 풀이에 주어지는 시간은 총 여섯 시간입니다.	競技時間は６時間です。	比赛时长为六小时。	國際語奧個人賽時間為六個小時。			
	\regprobd	You may keep your copy of the problems afterwards, but you must hand in all paperwork that you want the jury to mark (grade).		Можете да запазите условията след приключване на състезанието, но трябва да предадете всичката си работа, която очаквате Журито да оцени.	Po tekmovanju lahko obdržiš svoj izvod tekmovalne pole, oddati pa moraš vse rešitve, za katere želiš, da jih komisija oceni.	Po skončení soutěže si zadání můžete nechat, je ale nutné odevzdat všechny papíry s řešením, které chcete ohodnotit.	Możesz zatrzymać swój zestaw zadań, ale musisz oddać wszystkie kartki, które chcesz, żeby zostały ocenione. Włóż je do przeznaczonej na nie koperty.	Після завершення змагання ви можете залишити собі умови задач, а всі записи, які хочете надати журі для перевірки й оцінювання, покладіть у призначений для цього конверт і здайте.	Вы можете забрать свой комплект заданий с собой после окончания соревнования, но вы должны сдать все материалы, которые вы хотите передать на проверку членам жюри.	Pēc tam Jūs varat paturēt uzdevumu komplektu, bet Jums ir jāiesniedz viss uzrakstītais, ko vēlaties, lai žūrija novērtē.	Te võite pärast võistluse lõppu jätta enda kätte oma ülesandekomplekti, kuid peate üle andma kõik paberid, mida soovite lasta žüriil hinnata.	Saat pitää tehtäväpaperit itselläsi, mutta sinun on palautettava kaikki ne paperit, joiden haluat vaikuttavan arviointiin.	Du får behålla ditt exemplar av problemuppsättningen efter tävlingen, men du måste lämna in alla papper som du vill att juryn ska rätta och poängsätta.	Du må beholde din kopi af opgavesættet bagefter, men du skal aflevere alt papir, som du ønsker, at juryen bedømmer.	Du kannst deine Kopie des Aufgabensatzes im Anschluss behalten, du musst jedoch alle Unterlagen einreichen, die die Jury bewerten soll.	Na afloop mag je jouw kopie van de opgaven bewaren, maar je moet alles inleveren waarvan je wilt dat de jury het beoordeelt.	You may keep your copy of the problems afterwards, but you must hand in all paperwork that you want the jury to mark (grade).	A feladatsort megtarthatja, azonban minden papírt adjon be, amit szeretne, hogy a zsűri értékeljen.	Vă puteți păstra copia setului de probleme după probă, dar trebuie să predați toate foile pe care doriți să le corecteze juriul.	Vous pouvez conserver votre copie des problèmes ultérieurement, mais vous devez remettre tous les documents que vous souhaitez que le jury note.	Puedes guardar tu copia de los problemas después de la competencia, pero debes entregar todos los papeles que deseas que el jurado corrija.	Você pode ficar com a sua cópia dos problemas posteriormente, mas deve entregar todas as folhas que deseje que o júri corrija.	Yarışma sonunda soruları alabilirsiniz, jürinin değerlendireceği tüm çözümleri teslim etmelisiniz.	Müsabiqənin sonunda siz sualları götürə bilərsiniz, münsiflər heyətinin qiymətləndirəcəyi bütün həlləri təqdim etməlisiniz.	대회가 끝난 뒤에 문제지는 가져가도 되지만, 심사위원이 채점해 주기를 바라는 모든 작업물은 제공되는 서류봉투에 넣어 제출해야 합니다.	問題は持ち帰ることができますが、採点してほしい用紙は提出してください。	你可以在比赛结束后保留你的赛题，但是你必须提交所有你希望评委进行评分的书写内容。你需要将这些纸张放进主办方提供的信封里。	賽後，參賽者可以保留題本，但是參賽者必須將所有希望評審評分的內容裝進主辦單位提供的信封中，並繳交給監考人員。			
	\regprobe	You should put all of this in the envelope provided. You may keep drafts or other paperwork that you don't want the jury to see.		Поставете всичко необходимо за целта в плика, който ще Ви бъде предоставен. Имате право да си запазите условията на задачите, листовете с чернови и всичко, което не желаете да бъде разгледано от Журито.	Oddaš jih v ovojnici, ki je priložena tekmovalni poli. Osnutke in drug popisan papir, za katerega ne želiš, da ga vidi komisija, lahko obdržiš.	Všechna řešení odevzdejte v připravené obálce. Papíry s řešením nanečisto, které nechcete odevzdat k hodnocení, si můžete nechat.	Możesz zatrzymać brudnopisy i inne kartki, których nie zechcesz pokazywać jury.	Чернетки та інші записи, не призначені для оцінювання, можна не здавати.	Все эти материалы следует положить в выданный конверт. Вы можете забрать с собой черновики и другие листы бумаги, которые вы не хотите показывать членам жюри.	To visu jāieliek tam paredzētajā aploksnē. Jūs varat saglabāt melnrakstus vai citas lapas, ko nevēlaties, lai žūrija redzētu.	Pange kõik need paberid  teile antud ümbrikusse. Te võite jätta endale mustandid ja muud paberid, mida te ei taha žüriile näidata.	Palauta paperit kuoressa, jonka saat kilpailutilanteessa. Saat pitää myös ne tekstit ja luonnokset, joita et halua jättää arviointiin.	Du bör lägga dessa papper i svarskuvertet du får vid tävlingens början. Du får behålla kladdpapper och andra papper som du inte vill visa för juryn.	Du skal lægge alt dette i den udleverede kuvert. Du må gerne beholde kladder og andet papirarbejde, som du ikke ønsker, at juryen ser.	Du solltest das alles in den mitgelieferten Umschlag legen. Du kannst Entwürfe oder andere Unterlagen behalten, die die Jury nicht sehen soll.	Dit moet je allemaal in de bijgevoegde envelop stoppen. Je mag wel klad- en ander papier zelf bewaren waarvan je niet wilt dat de jury het ziet.	You should put all of this in the envelope provided. You may keep drafts or other paperwork that you don't want the jury to see.	Ezeket a lapokat rakja bele a mellékelt borítékba. A piszkozatokat és az egyéb lapokat megtarthatja.	Trebuie să le puneți pe toate în plicul oferit. Puteți păstra ciornele sau alte foi pe care nu doriți să le predați juriului.	Vous devez mettre tous ces documents dans l'enveloppe fournie. Vous pouvez conserver des brouillons ou d'autres documents que vous ne voulez pas que le jury considère.	Debes poner todo esto en el sobre suministrado. Puedes guardar borradores u otros documentos que no quieras que vea el jurado.	Você deve colocar todo esse material no envelope fornecido. Mas pode guardar para si os rascunhos e outros papéis que não deseje que o júri examine.	Çözümlerinizi size verilen zarfa koyunuz, müsvette çözümleriniz sizde kalabilir.	Həllərinizi sizə verilən zərfin içinə qoyun, qaralamadakı həllərinizi isə saxlaya bilərsiniz.	답안지 초안 등 심사위원에게 보여주고 싶지 않은 나머지 작업물은 가져가도 됩니다.	提出する用紙はすべて用意された封筒に入れてください。	你可以保留草稿或其他你不希望评委审阅的书写内容。	您可以自行保留答題時所寫的草稿或是其他不希望評審評分的內容。			
